corpus_id,document_type,tax_type,title,url,relative_url_path,markdown_path,fetch_status,error
nta_sozoku_shitsugi,質疑応答事例,相続税・贈与税,民法第255条の規定により共有持分を取得した場合の相続税の課税関係,https://www.nta.go.jp/law/shitsugi/sozoku/01/01.htm,01/01.htm,data/markdown/nta_sozoku_shitsugi/01__01_民法第255条の規定により共有持分を取得した場合の相続税の課税関係.md,ok,
nta_sozoku_shitsugi,質疑応答事例,相続税・贈与税,家附の継子と相続税法第15条第2項の相続人,https://www.nta.go.jp/law/shitsugi/sozoku/01/02.htm,01/02.htm,data/markdown/nta_sozoku_shitsugi/01__02_家附の継子と相続税法第15条第2項の相続人.md,ok,
nta_sozoku_shitsugi,質疑応答事例,相続税・贈与税,被相続人の準確定申告に係る還付金等,https://www.nta.go.jp/law/shitsugi/sozoku/02/01.htm,02/01.htm,data/markdown/nta_sozoku_shitsugi/02__01_被相続人の準確定申告に係る還付金等.md,ok,
nta_sozoku_shitsugi,質疑応答事例,相続税・贈与税,所有権留保契約に基づいて割賦購入された住宅を相続により取得した場合,https://www.nta.go.jp/law/shitsugi/sozoku/02/02.htm,02/02.htm,data/markdown/nta_sozoku_shitsugi/02__02_所有権留保契約に基づいて割賦購入された住宅を相続により取得した場合.md,ok,
nta_sozoku_shitsugi,質疑応答事例,相続税・贈与税,支払期日未到来の既経過家賃と相続財産,https://www.nta.go.jp/law/shitsugi/sozoku/02/03.htm,02/03.htm,data/markdown/nta_sozoku_shitsugi/02__03_支払期日未到来の既経過家賃と相続財産.md,ok,
nta_sozoku_shitsugi,質疑応答事例,相続税・贈与税,確定申告書提出後に死亡した被相続人に係る還付加算金の課税関係,https://www.nta.go.jp/law/shitsugi/sozoku/02/04.htm,02/04.htm,data/markdown/nta_sozoku_shitsugi/02__04_確定申告書提出後に死亡した被相続人に係る還付加算金の課税関係.md,ok,
nta_sozoku_shitsugi,質疑応答事例,相続税・贈与税,財団たる医療法人に対する残余財産分配請求権の相続性,https://www.nta.go.jp/law/shitsugi/sozoku/02/05.htm,02/05.htm,data/markdown/nta_sozoku_shitsugi/02__05_財団たる医療法人に対する残余財産分配請求権の相続性.md,ok,
nta_sozoku_shitsugi,質疑応答事例,相続税・贈与税,連生終身保険における高度障害保険金等の課税関係,https://www.nta.go.jp/law/shitsugi/sozoku/02/06.htm,02/06.htm,data/markdown/nta_sozoku_shitsugi/02__06_連生終身保険における高度障害保険金等の課税関係.md,ok,
nta_sozoku_shitsugi,質疑応答事例,相続税・贈与税,ハワイ州に所在するコンドミニアムの合有不動産権を相続税の課税対象とすることの可否,https://www.nta.go.jp/law/shitsugi/sozoku/02/07.htm,02/07.htm,data/markdown/nta_sozoku_shitsugi/02__07_ハワイ州に所在するコンドミニアムの合有不動産権を相続税の課税対象とすることの可否.md,ok,
nta_sozoku_shitsugi,質疑応答事例,相続税・贈与税,未支給の国民年金に係る相続税の課税関係,https://www.nta.go.jp/law/shitsugi/sozoku/02/09.htm,02/09.htm,data/markdown/nta_sozoku_shitsugi/02__09_未支給の国民年金に係る相続税の課税関係.md,ok,
nta_sozoku_shitsugi,質疑応答事例,相続税・贈与税,国家公務員の殉職によりその遺族に授与された賞じゅつ金の課税関係,https://www.nta.go.jp/law/shitsugi/sozoku/02/10.htm,02/10.htm,data/markdown/nta_sozoku_shitsugi/02__10_国家公務員の殉職によりその遺族に授与された賞じゅつ金の課税関係.md,ok,
